"","ID_0","COUNTRY","NAME_1","NL_NAME_1","ID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","PM25pc","PM25pc_2019"
"1","USA","United States","Connecticut",NA,"USA.7.1_1","Fairfield",NA,NA,"County","County",NA,"US.CT.FA",6.4092323665249,7.36791789408586
"2","USA","United States","Connecticut",NA,"USA.7.2_1","Hartford",NA,NA,"County","County",NA,"US.CT.HA",6.78463994129325,8.22349255421676
"3","USA","United States","Connecticut",NA,"USA.7.3_1","Litchfield",NA,NA,"County","County",NA,"US.CT.LI",6.22865808865071,7.6090818042633
"4","USA","United States","Connecticut",NA,"USA.7.4_1","Middlesex",NA,NA,"County","County",NA,"US.CT.MI",6.68615881550867,7.58478388979624
"5","USA","United States","Connecticut",NA,"USA.7.5_1","New Haven",NA,NA,"County","County",NA,"US.CT.NH",7.015671132981,7.3126764431385
"6","USA","United States","Connecticut",NA,"USA.7.6_1","New London",NA,NA,"County","County",NA,"US.CT.NL",6.35450817066193,6.61258279068363
"7","USA","United States","Connecticut",NA,"USA.7.7_1","Tolland",NA,NA,"County","County",NA,"US.CT.TO",6.28484676887753,7.7746646335659
"8","USA","United States","Connecticut",NA,"USA.7.8_1","Windham",NA,NA,"County","County",NA,"US.CT.WI",6.26093033424064,6.97069739003473
