"","ID_0","COUNTRY","NAME_1","NL_NAME_1","ID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","PM25pc","PM25pc_2019"
"44","USA","United States","Arkansas",NA,"USA.4.44_1","Madison",NA,NA,"County","County",NA,"US.AR.MD",6.06242768234538,7.38124216681281
"45","USA","United States","Arkansas",NA,"USA.4.45_1","Marion",NA,NA,"County","County",NA,"US.AR.MN",6.12870872613413,7.11458013899811
"46","USA","United States","Arkansas",NA,"USA.4.46_1","Miller",NA,NA,"County","County",NA,"US.AR.ML",7.46225267923373,8.17976917545255
"47","USA","United States","Arkansas",NA,"USA.4.47_1","Mississippi",NA,NA,"County","County",NA,"US.AR.MS",7.36915924451578,9.63291069532174
"48","USA","United States","Arkansas",NA,"USA.4.48_1","Monroe",NA,NA,"County","County",NA,"US.AR.ME",7.26888198921634,8.6930274060028
"49","USA","United States","Arkansas",NA,"USA.4.49_1","Montgomery",NA,NA,"County","County",NA,"US.AR.MT",6.83056825001665,7.81360361524072
"50","USA","United States","Arkansas",NA,"USA.4.50_1","Nevada",NA,NA,"County","County",NA,"US.AR.NV",7.52255193853254,7.98143776347105
"51","USA","United States","Arkansas",NA,"USA.4.51_1","Newton",NA,NA,"County","County",NA,"US.AR.NW",5.72862397242697,7.17762724535324
"52","USA","United States","Arkansas",NA,"USA.4.52_1","Ouachita",NA,NA,"County","County",NA,"US.AR.OU",7.50449235950282,7.98971958801211
"53","USA","United States","Arkansas",NA,"USA.4.53_1","Perry",NA,NA,"County","County",NA,"US.AR.PY",6.79113888915532,8.05975247475602
"54","USA","United States","Arkansas",NA,"USA.4.54_1","Phillips",NA,NA,"County","County",NA,"US.AR.PH",6.32154427678045,8.52135167103952
"55","USA","United States","Arkansas",NA,"USA.4.55_1","Pike",NA,NA,"County","County",NA,"US.AR.PE",7.06027748900978,8.04180781689301
"56","USA","United States","Arkansas",NA,"USA.4.56_1","Poinsett",NA,NA,"County","County",NA,"US.AR.PN",7.28434682697195,9.57798431047645
"57","USA","United States","Arkansas",NA,"USA.4.57_1","Polk",NA,NA,"County","County",NA,"US.AR.PL",7.01208581539945,7.87674900374964
"58","USA","United States","Arkansas",NA,"USA.4.58_1","Pope",NA,NA,"County","County",NA,"US.AR.PP",6.77643257482096,8.33455359431206
"59","USA","United States","Arkansas",NA,"USA.4.59_1","Prairie",NA,NA,"County","County",NA,"US.AR.PR",7.46555599565938,8.66215046671158
"60","USA","United States","Arkansas",NA,"USA.4.60_1","Pulaski",NA,NA,"County","County",NA,"US.AR.PU",7.86725484326413,8.3142307377411
"61","USA","United States","Arkansas",NA,"USA.4.61_1","Randolph",NA,NA,"County","County",NA,"US.AR.RA",6.33539295993699,8.22426268188102
"62","USA","United States","Arkansas",NA,"USA.4.62_1","Saint Francis",NA,NA,"County","County",NA,"US.AR.SI",6.55254544236327,8.85032283764703
"63","USA","United States","Arkansas",NA,"USA.4.63_1","Saline",NA,NA,"County","County",NA,"US.AR.SL",7.70328058454177,8.42107485279984
"64","USA","United States","Arkansas",NA,"USA.4.64_1","Scott",NA,NA,"County","County",NA,"US.AR.SC",6.62821098180971,7.65005254456615
"65","USA","United States","Arkansas",NA,"USA.4.65_1","Searcy",NA,NA,"County","County",NA,"US.AR.SA",5.68526908113625,7.07754764528546
"66","USA","United States","Arkansas",NA,"USA.4.66_1","Sebastian",NA,NA,"County","County",NA,"US.AR.SB",7.32049951697754,8.33395678781317
"67","USA","United States","Arkansas",NA,"USA.4.67_1","Sevier",NA,NA,"County","County",NA,"US.AR.SV",7.19830047569755,7.63334991573152
"68","USA","United States","Arkansas",NA,"USA.4.68_1","Sharp",NA,NA,"County","County",NA,"US.AR.SH",5.55445527742117,7.5794704483498
"69","USA","United States","Arkansas",NA,"USA.4.69_1","Stone",NA,NA,"County","County",NA,"US.AR.ST",5.75947743708358,6.82486499235541
"70","USA","United States","Arkansas",NA,"USA.4.70_1","Union",NA,NA,"County","County",NA,"US.AR.UN",7.77559353066067,8.08217740188858
"71","USA","United States","Arkansas",NA,"USA.4.71_1","Van Buren",NA,NA,"County","County",NA,"US.AR.VA",6.08973486968844,7.49777502495953
"72","USA","United States","Arkansas",NA,"USA.4.72_1","Washington",NA,NA,"County","County",NA,"US.AR.WA",7.28869322684721,8.40650535602345
"73","USA","United States","Arkansas",NA,"USA.4.73_1","White",NA,NA,"County","County",NA,"US.AR.WH",6.81425146178815,8.23311814617583
"74","USA","United States","Arkansas",NA,"USA.4.74_1","Woodruff",NA,NA,"County","County",NA,"US.AR.WO",7.37851256135236,8.49520350317175
"75","USA","United States","Arkansas",NA,"USA.4.75_1","Yell",NA,NA,"County","County",NA,"US.AR.YE",6.65007576690189,8.01607114428404
