"","ID_0","COUNTRY","NAME_1","NL_NAME_1","ID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","PM25pc","PM25pc_2019"
"1","USA","United States","Rhode Island",NA,"USA.40.1_1","Bristol",NA,NA,"County","County",NA,"US.RI.BR",7.59937260380824,4.17724194145574
"2","USA","United States","Rhode Island",NA,"USA.40.2_1","Kent",NA,NA,"County","County",NA,"US.RI.KE",7.10690974861576,6.70936190786625
"3","USA","United States","Rhode Island",NA,"USA.40.3_1","Newport",NA,NA,"County","County",NA,"US.RI.NE",6.90126567988464,3.74716021272361
"4","USA","United States","Rhode Island",NA,"USA.40.4_1","Providence",NA,NA,"County","County",NA,"US.RI.PR",7.20849799483599,7.15027663755935
"5","USA","United States","Rhode Island",NA,"USA.40.5_1","Washington",NA,NA,"County","County",NA,"US.RI.WA",6.23806461139216,6.18180778242567
