"","ID_0","COUNTRY","NAME_1","NL_NAME_1","ID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","PM25pc","PM25pc_2019"
"1","USA","United States","Hawaii",NA,"USA.12.1_1","Hawaii",NA,NA,"County","County",NA,"US.HI.HA",3.872326764903,2.5709126415671
"2","USA","United States","Hawaii",NA,"USA.12.2_1","Honolulu",NA,NA,"County","County",NA,"US.HI.HO",3.36519152867197,3.23951675595473
"3","USA","United States","Hawaii",NA,"USA.12.3_1","Kalawao",NA,NA,"County","County",NA,"US.HI.KL",3.2777906946703,0.141954290337088
"4","USA","United States","Hawaii",NA,"USA.12.4_1","Kauai",NA,NA,"County","County",NA,"US.HI.KU",2.67180737107894,1.74600871922289
"5","USA","United States","Hawaii",NA,"USA.12.5_1","Maui",NA,NA,"County","County",NA,"US.HI.MA",3.51084725048397,2.32516000229389
